┌─────────┬────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┬─────────────────────────────────────────────┬─────────────────────────────────────────────┬──────┐
│ (index) │ name                                                                                                               │ got                                         │ want                                        │ ok   │
├─────────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┼─────────────────────────────────────────────┼─────────────────────────────────────────────┼──────┤
│ 0       │ 'double-click on a Y tick number → the Y axis commands'                                                            │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 1       │ 'double-click on an X tick number → the X axis commands'                                                           │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 2       │ 'double-click on the rotated Y title → the label commands'                                                         │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 3       │ '…detected by its group even without a transform'                                                                  │ 'y'                                         │ 'y'                                         │ true │
│ 4       │ 'double-click on the X title → the label commands'                                                                 │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 5       │ 'double-click on a curve → the series commands'                                                                    │ 'series'                                    │ 'series'                                    │ true │
│ 6       │ 'double-click on a bar → the series commands'                                                                      │ 'series'                                    │ 'series'                                    │ true │
│ 7       │ 'double-click on a point → the series commands'                                                                    │ 'series'                                    │ 'series'                                    │ true │
│ 8       │ 'double-click on a legend entry → the series colours (with its name)'                                              │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 9       │ 'double-click outside the chart elements → nothing'                                                                │ 'null'                                      │ 'null'                                      │ true │
│ 10      │ 'a chart without a double-clickable node → nothing'                                                                │ 'null'                                      │ 'null'                                      │ true │
│ 11      │ 'every target maps to a section of the style panel'                                                                │ 'string,string,string,string,string,string' │ 'string,string,string,string,string,string' │ true │
│ 12      │ '…and the mapping covers the titles'                                                                               │ 'label,label'                               │ 'label,label'                               │ true │
│ 13      │ 'Chart.js: below the plot → the X axis'                                                                            │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 14      │ 'Chart.js: left of the plot → the Y axis'                                                                          │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 15      │ 'Chart.js: inside the plot → the curve under the pointer'                                                          │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 16      │ 'Chart.js: inside the plot but on no data → the series commands'                                                   │ '[object Object]'                           │ '[object Object]'                           │ true │
│ 17      │ 'Chart.js: no chart yet → nothing'                                                                                 │ 'null'                                      │ 'null'                                      │ true │
│ 18      │ 'textWidthPx: an empty text needs no room'                                                                         │ '0'                                         │ '0'                                         │ true │
│ 19      │ 'textWidthPx: 4 characters at 10 px'                                                                               │ '22'                                        │ '22'                                        │ true │
